material_id,formula_pretty,source_collection,material_status,bucket,channel_quality,cif_path
2dm-4544,Ba3In2Br2O5,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4544__Ba3In2Br2O5.cif
2dm-4546,Tl4SnS3,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=caution;electron_y=caution;hole_y=caution,材料/moderate-quality/2dm-4546__Tl4SnS3.cif
2dm-4548,MgGeO3,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4548__MgGeO3.cif
2dm-4560,KH4O2F,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4560__KH4O2F.cif
2dm-4564,ScBrO,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-4564__ScBrO.cif
2dm-4582,CaLaI5,Vertical_NM_Sample_100,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4582__CaLaI5.cif
2dm-4609,HfBrN,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4609__HfBrN.cif
2dm-4627,TlF,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-4627__TlF.cif
2dm-4634,TmClO,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4634__TmClO.cif
2dm-4636,Sn3(HO2)2,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4636__Sn3_HO2_2.cif
2dm-4641,SrTa2Bi2O9,Vertical_NM_Sample_100,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4641__SrTa2Bi2O9.cif
2dm-4647,H2PbO2,Vertical_NM_Sample_50_2_v7,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=weak;hole_y=weak,材料/high-quality/2dm-4647__H2PbO2.cif
2dm-4656,BaY3Br11,Vertical_NM_Sample_100_v1,caution-only,moderate-quality,electron_x=caution;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4656__BaY3Br11.cif
2dm-4669,HgH2NCl,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4669__HgH2NCl.cif
2dm-4675,CdHgAsBr,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4675__CdHgAsBr.cif
2dm-470,SrBr2,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-470__SrBr2.cif
2dm-4701,SbBrO,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4701__SbBrO.cif
2dm-4706,Tl2Ni(CN)4,Vertical_NM_Sample_50_2_v7,caution-only,moderate-quality,electron_x=caution;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4706__Tl2Ni_CN_4.cif
2dm-4713,ZnCl2,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=caution;hole_x=weak;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-4713__ZnCl2.cif
2dm-4724,AlHO2,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-4724__AlHO2.cif
2dm-4725,AgCNO,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4725__AgCNO.cif
2dm-4727,KNO3,Vertical_NM_Sample_other_v5,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=caution,材料/moderate-quality/2dm-4727__KNO3.cif
2dm-4730,CaTi2O5,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-4730__CaTi2O5.cif
2dm-4732,PbBrCl,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4732__PbBrCl.cif
2dm-4758,NaSbO2,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4758__NaSbO2.cif
2dm-4774,SbF5,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-4774__SbF5.cif
2dm-4796,SmBrO,Vertical_NM_Sample_50_2_v7,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4796__SmBrO.cif
2dm-4797,AuO2F,Vertical_NM_Sample_other_v5,>=1 filtered channel,high-quality,electron_x=caution;hole_x=caution;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4797__AuO2F.cif
2dm-48,BBr,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-48__BBr.cif
2dm-4801,SnSe,Vertical_NM_Sample_50_2_v7,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=caution;hole_y=weak,材料/high-quality/2dm-4801__SnSe.cif
2dm-4808,PrIO,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=caution;hole_y=weak,材料/high-quality/2dm-4808__PrIO.cif
2dm-4811,LuIO,Vertical_NM_Sample_50_2_v7,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=caution,材料/high-quality/2dm-4811__LuIO.cif
